,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
169,8,7906,107,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.026439338
170,8,7907,72,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.017790956
171,8,7908,9,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.00222387
172,8,7909,15,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.003706449
173,8,7934,1,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.000247097
174,8,9055,1,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.000247097
175,8,9056,533,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,0.131702496
176,8,9088,1,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.000247097
177,8,9089,676,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.167037312
178,8,9112,2340,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.578206079
179,8,9117,3,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.00074129
180,8,9118,8,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.001976773
181,8,9312,925,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.228564369
182,8,9315,28,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.006918705
183,8,9817,34,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.008401285
184,9,7191,60,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.014825797
185,9,7192,18,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.004447739
186,9,7193,43,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.010625154
187,9,7195,13,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.003212256
188,9,7196,1,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000247097
189,9,7200,8,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.001976773
190,9,7238,52,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.012849024
191,9,7239,76,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.018779343
192,9,7240,37,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.009142575
193,9,7241,231,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.057079318
194,9,7242,1,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.000247097
195,9,7292,4,Open Water,Open Water,Ba Open Water,0.000988386
196,9,7296,10,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.002470966
